"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Gender_Schools_Model.nlogox"
"GenderSegregationExperiment"
"06/10/2026 12:20:34:195 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","kappa","delta","[step]","(total-female-all / (total-male-all + total-female-all)) * 100"
"483","-0.5","1","39","38"
"484","-0.5","1","39","36.666666666666664"
"486","-0.5","1","39","37.333333333333336"
"485","-0.5","1","39","38"
"487","-0.5","1","39","37.333333333333336"
"488","-0.5","1","39","36"
"489","-0.5","1","39","38.666666666666664"
"490","-0.5","1","39","38"
"491","-0.5","1","39","40"
"492","-0.5","1","39","38"
"493","-0.5","1","39","33.33333333333333"
"494","-0.5","1","39","41.333333333333336"
"495","-0.5","1","39","38"
"496","-0.5","1","39","38.666666666666664"
"497","-0.5","1","39","37.333333333333336"
"498","-0.5","1","39","40"
"499","-0.5","1","39","38.666666666666664"
"500","-0.5","1","39","35.333333333333336"
"501","-0.5","1.1","39","43.333333333333336"
"502","-0.5","1.1","39","39.33333333333333"
"503","-0.5","1.1","39","44"
"505","-0.5","1.1","39","42"
"504","-0.5","1.1","39","41.333333333333336"
"506","-0.5","1.1","39","47.333333333333336"
"507","-0.5","1.1","39","42"
"508","-0.5","1.1","39","44"
"509","-0.5","1.1","39","41.333333333333336"
"510","-0.5","1.1","39","41.333333333333336"
"511","-0.5","1.1","39","44"
"513","-0.5","1.1","39","42.66666666666667"
"512","-0.5","1.1","39","44"
"514","-0.5","1.1","39","41.333333333333336"
"516","-0.5","1.1","39","41.333333333333336"
"515","-0.5","1.1","39","46.666666666666664"
"517","-0.5","1.1","39","44.666666666666664"
"518","-0.5","1.1","39","44.666666666666664"
"519","-0.5","1.1","39","42.66666666666667"
"520","-0.5","1.1","39","42"
"521","-0.5","1.2","39","51.33333333333333"
"522","-0.5","1.2","39","46.666666666666664"
"523","-0.5","1.2","39","48"
"525","-0.5","1.2","39","48"
"524","-0.5","1.2","39","48"
"527","-0.5","1.2","39","51.33333333333333"
"526","-0.5","1.2","39","48.66666666666667"
"529","-0.5","1.2","39","47.333333333333336"
"528","-0.5","1.2","39","46.666666666666664"
"530","-0.5","1.2","39","50"
"533","-0.5","1.2","39","51.33333333333333"
"532","-0.5","1.2","39","52.666666666666664"
"531","-0.5","1.2","39","51.33333333333333"
"535","-0.5","1.2","39","48"
"534","-0.5","1.2","39","50.66666666666667"
"536","-0.5","1.2","39","50.66666666666667"
"537","-0.5","1.2","39","48.66666666666667"
"538","-0.5","1.2","39","48.66666666666667"
"539","-0.5","1.2","39","51.33333333333333"
"540","-0.5","1.2","39","48"
"541","-0.5","1.3","39","53.333333333333336"
"542","-0.5","1.3","39","52"
"543","-0.5","1.3","39","55.333333333333336"
"544","-0.5","1.3","39","50"
"545","-0.5","1.3","39","48.66666666666667"
"546","-0.5","1.3","39","54.666666666666664"
"548","-0.5","1.3","39","54"
"547","-0.5","1.3","39","54.666666666666664"
"549","-0.5","1.3","39","54.666666666666664"
"550","-0.5","1.3","39","53.333333333333336"
"551","-0.5","1.3","39","54"
